Word	Valence	Arousal	Dominance
accomplish	0.929	0.673	0.816
accomplished	0.870	0.520	0.798
accomplishment	0.917	0.694	0.888
accord	0.898	0.264	0.382
accordance	0.659	0.349	0.600
accordion	0.604	0.490	0.361
account	0.531	0.347	0.472
accountability	0.755	0.537	0.833
accountable	0.709	0.282	0.777
accountant	0.625	0.450	0.639
accounting	0.552	0.390	0.677
accounts	0.592	0.340	0.471
accredited	0.669	0.479	0.768
accretion	0.448	0.519	0.672
accrue	0.520	0.481	0.602
accueil	0.450	0.451	0.470
accumulate	0.573	0.536	0.607
accumulation	0.479	0.527	0.600
accuracy	0.604	0.481	0.802
accurate	0.743	0.360	0.737
accursed	0.135	0.745	0.345
accusation	0.073	0.718	0.564
accusative	0.198	0.755	0.482
accuse	0.133	0.752	0.500
accused	0.130	0.670	0.420
accuser	0.122	0.779	0.615
accusing	0.156	0.745	0.324
accustomed	0.542	0.365	0.441
ace	0.643	0.481	0.546
acetic	0.333	0.420	0.519
acetylene	0.306	0.469	0.509
ache	0.146	0.760	0.312
achieve	0.816	0.545	0.843
achieved	0.896	0.519	0.775
achievement	0.896	0.808	0.759
aching	0.053	0.880	0.348
achy	0.167	0.840	0.373
acid	0.265	0.642	0.566
acidity	0.156	0.663	0.360
acknowledge	0.786	0.370	0.661
acknowledged	0.714	0.443	0.765
acknowledgement	0.819	0.539	0.830
acknowledgment	0.796	0.528	0.777
acme	0.408	0.435	0.375
acne	0.167	0.474	0.308
acorn	0.448	0.198	0.192
acoustic	0.542	0.462	0.536
acoustics	0.611	0.330	0.509
acquaint	0.646	0.491	0.639
acquaintance	0.656	0.290	0.670
acquainted	0.906	0.358	0.632
acquiescence	0.542	0.480	0.554
acquire	0.833	0.468	0.700
acquiring	0.735	0.510	0.817
acquisition	0.698	0.509	0.736
acquisitions	0.773	0.660	0.790
acquit	0.583	0.571	0.611
acquittal	0.760	0.497	0.700
acre	0.583	0.387	0.423
acreage	0.741	0.450	0.528
acres	0.510	0.363	0.500
acrobat	0.708	0.828	0.602
acrylic	0.582	0.279	0.420
act	0.656	0.704	0.735
acting	0.698	0.643	0.500
action	0.760	0.898	0.802
action figure	0.615	0.774	0.611
actionable	0.673	0.702	0.613
activate	0.764	0.650	0.806
activation	0.781	0.800	0.754
active	0.847	0.730	0.731
activist	0.531	0.653	0.877
activity	0.701	0.660	0.807
actor	0.653	0.561	0.629
actress	0.633	0.556	0.596
actual	0.729	0.400	0.716
actuality	0.750	0.464	0.600
actuary	0.510	0.404	0.491
acuity	0.469	0.378	0.741
acumen	0.564	0.660	0.679
acupuncture	0.531	0.324	0.549
acute	0.427	0.652	0.534
acutely	0.417	0.543	0.491
ad	0.521	0.705	0.558
adage	0.517	0.415	0.566
adamant	0.344	0.529	0.575
adapt	0.740	0.355	0.551
adaptable	0.735	0.423	0.641
adaptation	0.663	0.365	0.609
add	0.728	0.490	0.554
added	0.562	0.405	0.509
addendum	0.392	0.370	0.418
adder	0.388	0.461	0.588
addict	0.075	0.696	0.327
addicted	0.156	0.712	0.483
addiction	0.180	0.806	0.420
addictive	0.302	0.683	0.472
addition	0.562	0.373	0.471
additional	0.673	0.462	0.526
additive	0.561	0.633	0.691
address	0.650	0.327	0.567
addressee	0.622	0.382	0.538
addresses	0.510	0.354	0.450
adept	0.594	0.539	0.789
adequacy	0.615	0.435	0.702
adequate	0.854	0.264	0.705
adhere	0.633	0.339	0.554
adherence	0.760	0.307	0.630
adherent	0.561	0.385	0.555
adhering	0.612	0.561	0.537
adhesion	0.521	0.445	0.586
adhesive	0.604	0.350	0.413
adieu	0.250	0.471	0.342
adipose	0.333	0.350	0.391
adjacency	0.365	0.417	0.375
adjacent	0.645	0.276	0.536
adjective	0.570	0.316	0.569
adjoining	0.520	0.400	0.393
adjourn	0.385	0.456	0.475
adjournment	0.438	0.510	0.370
adjudicate	0.559	0.520	0.683
adjudication	0.551	0.462	0.691
adjunct	0.459	0.440	0.426
adjust	0.647	0.327	0.638
adjuster	0.510	0.540	0.760
adjustment	0.590	0.520	0.661
adjuvant	0.510	0.500	0.456
admin	0.688	0.420	0.854
administer	0.635	0.425	0.860
administration	0.625	0.404	0.786
administrative	0.542	0.415	0.579
administrator	0.538	0.480	0.902
admirable	0.929	0.600	0.870
admiral	0.844	0.490	0.847
admiralty	0.594	0.547	0.733
admiration	0.969	0.583	0.726
admire	0.867	0.692	0.704
admired	0.917	0.560	0.815
admirer	0.796	0.720	0.650
admiring	0.867	0.578	0.629
admissibility	0.802	0.580	0.602
admissible	0.780	0.528	0.642
admission	0.802	0.415	0.732
admit	0.538	0.423	0.667
admittance	0.690	0.451	0.598
admitted	0.720	0.490	0.767
admitting	0.620	0.500	0.546
admixture	0.450	0.375	0.438
admonition	0.357	0.606	0.455
ado	0.520	0.423	0.385
adobe	0.500	0.319	0.328
adolescence	0.487	0.694	0.444
adolescent	0.781	0.680	0.509
adopt	0.694	0.612	0.701
adoption	0.625	0.566	0.589
adoptive	0.531	0.469	0.520
adorable	0.969	0.519	0.457
adoration	0.885	0.699	0.708
adore	0.854	0.438	0.657
adoring	0.885	0.620	0.717
adorn	0.910	0.424	0.482
adornment	0.918	0.373	0.377
adrenalin	0.865	0.920	0.786
adrenaline	0.765	0.965	0.825
adrift	0.398	0.486	0.230
adult	0.815	0.491	0.787
adulterated	0.188	0.865	0.370
adulterer	0.229	0.814	0.407
adultery	0.120	0.922	0.510
adulthood	0.541	0.454	0.652
advance	0.673	0.472	0.858
advanced	0.844	0.623	0.797
advancement	0.776	0.650	0.839
advancing	0.929	0.608	0.812
advantage	0.917	0.548	0.859
advantageous	0.837	0.640	0.789
advent	0.665	0.560	0.627
adventure	0.917	0.857	0.710
adventurer	0.781	0.839	0.868
adventures	0.812	0.764	0.749
adventurous	0.969	0.898	0.722
adversary	0.349	0.777	0.457
adverse	0.323	0.610	0.385
adversity	0.276	0.760	0.538
advertise	0.500	0.529	0.580
advertisement	0.600	0.566	0.539
advertising	0.622	0.608	0.632
adverts	0.551	0.500	0.595
advice	0.698	0.408	0.688
advisable	0.867	0.480	0.510
advise	0.760	0.393	0.705
advised	0.823	0.330	0.509
advisement	0.698	0.235	0.655
adviser	0.745	0.362	0.705
advisor	0.646	0.350	0.689
advisory	0.656	0.429	0.633
advocacy	0.500	0.646	0.731
advocate	0.551	0.530	0.818
aegis	0.490	0.439	0.462
aeration	0.550	0.500	0.433
aerial	0.615	0.461	0.463
aerobics	0.708	0.771	0.627
aerodrome	0.541	0.740	0.678
aerodynamic	0.561	0.724	0.728
aerodynamics	0.590	0.663	0.722
aeronautics	0.551	0.633	0.688
aeroplane	0.714	0.642	0.644
aerospace	0.643	0.520	0.779
aesthetic	0.708	0.442	0.526
aesthetics	0.847	0.327	0.549
aetiology	0.480	0.398	0.615
afar	0.396	0.373	0.358
affable	0.704	0.380	0.452
affair	0.520	0.459	0.657
affect	0.458	0.569	0.578
affecting	0.350	0.574	0.394
affection	0.898	0.559	0.696
affectionate	0.949	0.422	0.550
affections	0.760	0.547	0.655
affiche	0.479	0.265	0.402
affidavit	0.469	0.584	0.526
affiliated	0.673	0.519	0.535
affiliation	0.615	0.594	0.500
affinity	0.800	0.500	0.537
affirm	0.745	0.509	0.731
affirmation	0.750	0.500	0.689
affirmative	0.854	0.589	0.816
affirmatively	0.908	0.500	0.811
affix	0.438	0.335	0.411
afflict	0.302	0.555	0.293
afflicted	0.271	0.500	0.167
affliction	0.294	0.635	0.392
affluence	0.663	0.618	0.722
affluent	0.756	0.388	0.477
afford	0.571	0.580	0.575
affordable	0.840	0.398	0.493
affront	0.327	0.740	0.547
affronted	0.385	0.750	0.527
afield	0.594	0.370	0.373
afire	0.367	0.904	0.675
afloat	0.602	0.427	0.444
afore	0.500	0.337	0.382
aforementioned	0.490	0.316	0.408
aforesaid	0.531	0.358	0.478
afraid	0.010	0.775	0.245
afresh	0.643	0.521	0.480
african	0.490	0.423	0.555
aft	0.480	0.417	0.518
afterlife	0.571	0.567	0.568
aftermath	0.312	0.449	0.444
afternoon	0.533	0.388	0.339
aftershave	0.406	0.384	0.415
aftertaste	0.354	0.362	0.455
afterthought	0.396	0.392	0.349
aga	0.542	0.327	0.398
agape	0.612	0.529	0.464
agate	0.540	0.377	0.483
age	0.561	0.226	0.498
aged	0.135	0.365	0.236
agency	0.460	0.296	0.583
agenda	0.531	0.296	0.553
agent	0.480	0.439	0.755
agglomeration	0.450	0.765	0.509
aggravate	0.224	0.770	0.464
aggravated	0.079	0.760	0.430
aggravates	0.108	0.778	0.357
aggravating	0.257	0.794	0.640
aggravation	0.071	0.784	0.613
aggregate	0.730	0.378	0.556
aggregation	0.583	0.517	0.694
aggresive	0.059	0.971	0.639
aggression	0.094	0.929	0.533
aggressive	0.125	0.949	0.648
aggressively	0.250	0.926	0.688
aggressiveness	0.077	0.913	0.648
aggressor	0.146	0.948	0.823
agh	0.260	0.500	0.400
aghast	0.133	0.865	0.464
aghhh	0.281	0.635	0.243
agile	0.800	0.657	0.775
agility	0.720	0.702	0.815
aging	0.214	0.255	0.284
agitate	0.300	0.796	0.593
agitated	0.444	0.882	0.491
agitation	0.240	0.931	0.447
aglow	0.780	0.510	0.797
agnostic	0.306	0.396	0.574
ago	0.317	0.280	0.404
agonizing	0.083	0.800	0.340
agony	0.083	0.775	0.393
agoraphobia	0.127	0.712	0.438
agree	0.906	0.260	0.545
agreeable	0.906	0.500	0.696
agreed	0.797	0.449	0.574
agreeing	0.854	0.480	0.557
agreement	0.760	0.440	0.736
agressive	0.083	0.918	0.751
agricultural	0.686	0.321	0.473
agriculture	0.640	0.357	0.465
aground	0.333	0.340	0.445
agua	0.598	0.180	0.436
ahead	0.708	0.520	0.673
ahhh	0.562	0.517	0.241
ahhhhhhhh	0.552	0.649	0.288
ahoy	0.500	0.497	0.380
aid	0.796	0.491	0.541
aide	0.724	0.342	0.434
aiding	0.643	0.533	0.569
aids	0.561	0.480	0.500
ail	0.375	0.434	0.385
ailing	0.094	0.518	0.153
ailment	0.146	0.734	0.277
aim	0.481	0.569	0.567
aimless	0.150	0.267	0.183
air	0.708	0.163	0.427
airbag	0.510	0.402	0.433
airborne	0.542	0.519	0.385
aircraft	0.646	0.644	0.691
aircraft carrier	0.490	0.740	0.727
airfield	0.601	0.650	0.645
airhead	0.271	0.481	0.276
airlift	0.573	0.622	0.642
airline	0.650	0.482	0.688
airliner	0.667	0.777	0.647
airlock	0.398	0.520	0.447
airman	0.587	0.716	0.721
airplane	0.719	0.702	0.708
airport	0.729	0.684	0.682
airs	0.583	0.196	0.370
airship	0.542	0.472	0.529
airspace	0.562	0.510	0.640
airspeed	0.583	0.780	0.544
airstrip	0.550	0.690	0.649
airtight	0.479	0.381	0.570
airway	0.638	0.585	0.482
aisle	0.438	0.222	0.283
ait	0.385	0.390	0.402
ajar	0.460	0.413	0.446
aka	0.459	0.358	0.351
akin	0.639	0.343	0.523
alabaster	0.542	0.404	0.445
alarm	0.241	0.882	0.698
alarm clock	0.542	0.727	0.642
alarmed	0.188	0.822	0.492
alarming	0.204	0.890	0.585
alas	0.571	0.310	0.279
alb	0.521	0.380	0.427
albatross	0.500	0.445	0.527
albino	0.500	0.240	0.358
album	0.635	0.349	0.453
alchemy	0.541	0.583	0.693
alcohol	0.323	0.667	0.377
alcoholic	0.153	0.688	0.361
alcoholism	0.061	0.779	0.407
alcove	0.490	0.340	0.356
alderman	0.550	0.459	0.691
ale	0.530	0.450	0.358
alert	0.479	0.820	0.648
alertness	0.375	0.875	0.750
alerts	0.337	0.804	0.673
alfalfa	0.546	0.250	0.311
algebra	0.440	0.340	0.565
algebraic	0.531	0.412	0.441
algorithm	0.448	0.394	0.559
alias	0.541	0.353	0.333
alibi	0.396	0.528	0.556
alien	0.410	0.615	0.491
alienate	0.247	0.500	0.523
alienated	0.410	0.423	0.559
alienation	0.378	0.530	0.462
alight	0.667	0.657	0.605
align	0.656	0.364	0.627
aligned	0.583	0.275	0.553
alignment	0.643	0.412	0.683
alike	0.653	0.173	0.444
alimentation	0.781	0.551	0.602
alimony	0.612	0.477	0.464
aliquot	0.440	0.310	0.404
alive	0.816	0.637	0.731
alkali	0.490	0.350	0.408
alkaloids	0.433	0.562	0.402
allay	0.417	0.406	0.398
allegation	0.578	0.578	0.608
allege	0.418	0.482	0.587
alleged	0.365	0.522	0.520
allegiance	0.917	0.398	0.750
allegorical	0.517	0.558	0.598
allegory	0.615	0.580	0.509
allegro	0.635	0.627	0.453
allergic	0.135	0.549	0.273
allergy	0.296	0.606	0.389
alleviate	0.869	0.270	0.528
alleviation	0.735	0.200	0.491
alley	0.347	0.500	0.355
alleyway	0.357	0.471	0.382
alliance	0.696	0.473	0.769
allied	0.714	0.245	0.642
alligator	0.354	0.704	0.645
allocate	0.673	0.462	0.672
allocation	0.604	0.388	0.679
allot	0.622	0.481	0.616
allotment	0.600	0.390	0.640
allow	0.698	0.429	0.538
allowable	0.698	0.500	0.561
allowance	0.673	0.382	0.591
allowed	0.730	0.360	0.655
alloy	0.583	0.443	0.593
allsmiles	0.786	0.528	0.430
allure	0.804	0.585	0.686
alluring	0.837	0.745	0.843
allusion	0.440	0.308	0.462
alluvial	0.323	0.490	0.491
ally	0.792	0.320	0.688
almanac	0.688	0.190	0.412
almighty	0.938	0.874	0.958
almond	0.698	0.183	0.314
aloft	0.771	0.373	0.700
aloha	0.698	0.440	0.441
alone	0.333	0.167	0.216
alongside	0.458	0.333	0.347
aloof	0.189	0.423	0.302
aloud	0.458	0.713	0.750
alpha	0.708	0.340	0.755
alphabet	0.562	0.204	0.672
alphabetical	0.537	0.296	0.535
alpine	0.594	0.337	0.474
alreadyyyyy	0.592	0.717	0.351
altar	0.724	0.387	0.635
altar boy	0.434	0.206	0.350
alter	0.333	0.694	0.654
alteration	0.167	0.798	0.609
altercation	0.170	0.806	0.500
altered	0.255	0.765	0.500
alternate	0.625	0.363	0.589
alternating	0.480	0.494	0.542
alternative	0.628	0.373	0.631
altimeter	0.615	0.510	0.580
altitude	0.708	0.482	0.736
alto	0.656	0.404	0.730
altogether	0.833	0.324	0.644
aluminum	0.449	0.280	0.434
alumnus	0.633	0.368	0.422
alveolar	0.469	0.481	0.367
alzheimers	0.194	0.518	0.319
amalgam	0.438	0.333	0.510
amalgamation	0.406	0.470	0.531
amaretto	0.543	0.551	0.375
amass	0.552	0.465	0.465
amateur	0.469	0.500	0.409
amaze	0.896	0.843	0.783
amazed	0.796	0.779	0.533
amazedness	0.827	0.872	0.510
amazement	0.750	0.800	0.639
amazing	0.906	0.837	0.849
amazingly	0.918	0.765	0.920
ambassador	0.651	0.529	0.917
amber	0.635	0.308	0.369
ambience	0.735	0.356	0.426
ambient	0.625	0.360	0.582
ambiguity	0.164	0.460	0.370
ambiguous	0.265	0.462	0.358
ambit	0.479	0.380	0.386
ambition	0.510	0.804	0.661
ambitious	0.484	0.821	0.717
ambivalent	0.510	0.404	0.482
ambrosia	0.571	0.452	0.480
ambulance	0.500	0.750	0.609
ambush	0.281	0.830	0.500
ameliorate	0.770	0.548	0.747
amen	0.781	0.182	0.542
amenable	0.448	0.410	0.406
amend	0.688	0.406	0.658
amendment	0.531	0.459	0.606
amends	0.640	0.366	0.517
amenity	0.750	0.327	0.574
amethyst	0.622	0.406	0.517
amiable	0.847	0.290	0.483
amicable	0.875	0.330	0.507
amid	0.510	0.340	0.256
amidst	0.480	0.330	0.316
amino	0.551	0.402	0.433
ammo	0.323	0.765	0.621
ammonia	0.292	0.587	0.409
ammonium	0.354	0.396	0.368
ammunition	0.338	0.635	0.667
amnesia	0.296	0.330	0.308
amnesty	0.551	0.451	0.814
amorous	0.844	0.670	0.636
amorphous	0.327	0.402	0.349
amortization	0.592	0.491	0.522
amount	0.562	0.422	0.649
amour	0.865	0.480	0.652
amp	0.439	0.393	0.375
ampersand	0.480	0.448	0.483
amphetamines	0.133	0.667	0.526
amphibian	0.427	0.357	0.474
amphibious	0.479	0.346	0.445
amphitheater	0.653	0.480	0.545
ample	0.744	0.349	0.719
amplification	0.690	0.677	0.810
amplify	0.677	0.735	0.827
amplitude	0.694	0.439	0.692
amply	0.781	0.431	0.766
amputate	0.092	0.660	0.509
amputation	0.100	0.755	0.483
amuck	0.385	0.602	0.321
amulet	0.781	0.260	0.630
amuse	0.812	0.684	0.664
amused	0.942	0.847	0.596
amusement	0.929	0.837	0.803
amusing	0.960	0.829	0.632
ana	0.541	0.300	0.314
anaconda	0.146	0.830	0.540
anaesthesia	0.350	0.217	0.473
anaesthetic	0.449	0.268	0.509
anagram	0.552	0.327	0.449
anal	0.333	0.798	0.334
analgesic	0.417	0.321	0.441
analogous	0.531	0.270	0.500
analogue	0.570	0.320	0.446
analogy	0.510	0.367	0.509
analysis	0.729	0.448	0.705
analyst	0.604	0.415	0.755
analytic	0.665	0.521	0.634
analytical	0.625	0.324	0.800
analyze	0.667	0.462	0.710
analyzer	0.625	0.556	0.854
anaphylactic	0.378	0.588	0.500
anarchism	0.125	0.804	0.623
anarchist	0.204	0.700	0.759
anarchy	0.146	0.755	0.620
anastomosis	0.375	0.470	0.490
anathema	0.286	0.490	0.519
anatomic	0.562	0.442	0.546
anatomy	0.562	0.390	0.571
ancestor	0.592	0.388	0.594
ancestral	0.640	0.481	0.750
ancestry	0.708	0.519	0.717
anchor	0.520	0.284	0.564
anchorage	0.500	0.325	0.639
ancient	0.420	0.217	0.439
ancillary	0.449	0.442	0.278
androgen	0.255	0.523	0.527
android	0.663	0.436	0.500
anecdote	0.583	0.529	0.500
anemia	0.188	0.327	0.310
anemic	0.167	0.279	0.155
anemone	0.552	0.538	0.327
anesthesia	0.365	0.216	0.394
anesthesiologist	0.419	0.224	0.526
anesthetic	0.350	0.264	0.482
aneurysm	0.115	0.690	0.536
anew	0.771	0.358	0.385
angel	0.906	0.158	0.704
angelic	0.927	0.298	0.668
anger	0.167	0.865	0.657
angered	0.010	0.860	0.547
angermanagement	0.260	0.632	0.482
angina	0.230	0.630	0.464
angiogram	0.347	0.520	0.465
angiography	0.378	0.536	0.520
angle	0.541	0.330	0.455
angling	0.625	0.408	0.500
angora	0.529	0.425	0.405
angriest	0.094	0.892	0.430
angry	0.122	0.830	0.604
angrytweet	0.265	0.644	0.471
angst	0.167	0.888	0.333
anguish	0.153	0.792	0.265
anguished	0.135	0.720	0.307
angular	0.449	0.281	0.444
anhydrous	0.456	0.365	0.355
animal	0.521	0.510	0.513
animate	0.827	0.755	0.635
animated	0.823	0.676	0.538
animation	0.888	0.750	0.549
animosity	0.510	0.724	0.545
animus	0.698	0.676	0.466
ankle	0.500	0.274	0.234
anklet	0.410	0.276	0.302
annals	0.427	0.610	0.424
annex	0.594	0.350	0.458
annexation	0.342	0.500	0.555
annexe	0.584	0.350	0.392
annihilate	0.115	0.918	0.681
annihilated	0.080	0.760	0.324
annihilation	0.041	0.800	0.591
anniversary	0.880	0.770	0.723
annotate	0.592	0.469	0.441
annotation	0.604	0.470	0.619
announce	0.694	0.618	0.611
announcement	0.729	0.491	0.482
announcer	0.602	0.570	0.732
annoy	0.094	0.765	0.286
annoyance	0.167	0.718	0.342
annoyed	0.104	0.783	0.345
annoyin	0.260	0.573	0.352
annoying	0.082	0.853	0.348
annoys	0.146	0.778	0.435
annual	0.552	0.236	0.500
annuity	0.521	0.304	0.527
annul	0.250	0.448	0.364
annular	0.310	0.385	0.412
annulment	0.153	0.375	0.447
annulus	0.458	0.380	0.376
anointed	0.500	0.368	0.579
anointing	0.653	0.350	0.547
anomalous	0.281	0.480	0.423
anomaly	0.188	0.538	0.404
anon	0.479	0.354	0.298
anonymity	0.469	0.255	0.430
anonymous	0.396	0.291	0.431
anorexic	0.160	0.618	0.245
answer	0.537	0.373	0.661
answerable	0.708	0.481	0.750
answering	0.684	0.500	0.607
ant	0.448	0.216	0.216
antagonism	0.224	0.618	0.524
antagonist	0.240	0.615	0.700
antagonistic	0.296	0.604	0.565
antagonize	0.143	0.663	0.629
ante	0.448	0.320	0.417
antecedent	0.427	0.551	0.566
antelope	0.542	0.510	0.500
antenna	0.521	0.327	0.358
anterior	0.510	0.245	0.362
anthem	0.780	0.343	0.729
anthill	0.327	0.578	0.377
anthology	0.338	0.406	0.537
anthrax	0.188	0.730	0.500
anthropological	0.367	0.390	0.490
anthropologist	0.551	0.385	0.725
anthropology	0.490	0.367	0.582
anti	0.365	0.412	0.384
antiaircraft	0.330	0.622	0.629
antibiotic	0.510	0.373	0.658
antibiotics	0.448	0.406	0.557
antichrist	0.082	0.837	0.544
anticipate	0.622	0.469	0.667
anticipation	0.698	0.539	0.711
anticipatory	0.653	0.551	0.682
antics	0.448	0.740	0.236
antidote	0.541	0.490	0.629
antifungal	0.408	0.412	0.441
antigravity	0.430	0.714	0.658
antimony	0.378	0.398	0.490
antipathy	0.198	0.549	0.393
antiquarian	0.500	0.233	0.426
antiquated	0.420	0.392	0.236
antique	0.634	0.290	0.518
antiques	0.540	0.370	0.595
antiquity	0.385	0.333	0.556
antiseptic	0.438	0.370	0.623
antisocial	0.146	0.686	0.391
antithesis	0.396	0.412	0.536
antithetical	0.271	0.509	0.358
antiviral	0.459	0.470	0.549
antler	0.448	0.470	0.500
antsy	0.449	0.558	0.417
anus	0.347	0.644	0.350
anvil	0.380	0.510	0.604
anxiety	0.146	0.865	0.342
anxietyattack	0.150	0.925	0.446
anxious	0.281	0.875	0.434
anxiousness	0.235	0.814	0.282
anytime	0.625	0.461	0.436
aorta	0.448	0.510	0.542
aortic	0.436	0.540	0.438
apace	0.536	0.500	0.536
apache	0.687	0.469	0.500
apartment	0.719	0.393	0.580
apartments	0.704	0.337	0.443
apathetic	0.188	0.292	0.333
apathy	0.184	0.212	0.204
ape	0.548	0.389	0.336
aperture	0.612	0.450	0.667
apex	0.570	0.433	0.418
aphid	0.388	0.473	0.407
aphrodisiac	0.750	0.846	0.667
apiece	0.439	0.259	0.383
aplomb	0.500	0.509	0.582
apocalypse	0.050	0.867	0.736
apocalyptic	0.173	0.880	0.750
apologetic	0.479	0.461	0.571
apologist	0.406	0.429	0.526
apologize	0.551	0.378	0.389
apology	0.571	0.346	0.402
apostasy	0.388	0.520	0.517
apostate	0.342	0.500	0.528
apostle	0.646	0.347	0.732
apostolic	0.592	0.300	0.717
apostrophe	0.469	0.368	0.537
apothecary	0.561	0.328	0.529
appalled	0.194	0.792	0.562
appalling	0.160	0.827	0.415
apparatus	0.375	0.353	0.377
apparel	0.698	0.435	0.453
apparent	0.473	0.383	0.398
apparently	0.531	0.410	0.426
apparition	0.406	0.573	0.636
appeal	0.663	0.598	0.558
appear	0.735	0.506	0.567
appearance	0.669	0.490	0.534
appease	0.633	0.278	0.434
appellant	0.327	0.588	0.568
append	0.573	0.464	0.453
appendage	0.229	0.382	0.438
appendectomy	0.177	0.670	0.554
appendicitis	0.031	0.640	0.347
appendix	0.365	0.387	0.425
appetite	0.704	0.637	0.581
appetizer	0.755	0.560	0.406
appetizing	0.806	0.657	0.688
applaud	0.865	0.824	0.464
applause	0.953	0.857	0.621
apple	0.811	0.300	0.264
apple juice	0.765	0.204	0.294
applejack	0.604	0.431	0.473
applesauce	0.750	0.167	0.291
appliance	0.582	0.453	0.538
appliances	0.594	0.394	0.567
applicability	0.677	0.490	0.741
applicable	0.469	0.430	0.667
applicant	0.612	0.558	0.688
application	0.646	0.445	0.726
apply	0.612	0.321	0.667
appoint	0.565	0.330	0.509
appointment	0.688	0.594	0.547
appointments	0.745	0.677	0.625
apportion	0.677	0.490	0.638
apportionment	0.552	0.481	0.453
appraisal	0.417	0.667	0.682
appraise	0.677	0.490	0.696
appreciable	0.873	0.491	0.778
appreciate	0.885	0.422	0.741
appreciated	0.910	0.434	0.779
appreciates	0.765	0.500	0.656
appreciation	0.917	0.529	0.588
appreciative	0.857	0.380	0.654
apprehend	0.521	0.624	0.696
apprehension	0.385	0.720	0.454
apprehensive	0.406	0.592	0.431
apprentice	0.615	0.413	0.452
apprenticeship	0.812	0.482	0.643
